"","date","n_correos"
"947",2011-08-23,7
"948",2011-08-24,3
"949",2011-08-25,3
"950",2011-08-26,7
"951",2011-08-27,2
"952",2011-08-28,0
"953",2011-08-29,3
"954",2011-08-30,1
"955",2011-08-31,0
"956",2011-09-01,0
"957",2011-09-02,1
"958",2011-09-03,0
"959",2011-09-04,0
"960",2011-09-05,5
"961",2011-09-06,3
"962",2011-09-07,4
"963",2011-09-08,9
"964",2011-09-09,6
"965",2011-09-10,1
"966",2011-09-11,1
"967",2011-09-12,2
"968",2011-09-13,8
"969",2011-09-14,9
"970",2011-09-15,27
"971",2011-09-16,4
"972",2011-09-17,1
"973",2011-09-18,6
"974",2011-09-19,6
"975",2011-09-20,3
"976",2011-09-21,0
"977",2011-09-22,2
"978",2011-09-23,1
"979",2011-09-24,0
"980",2011-09-25,1
"981",2011-09-26,5
"982",2011-09-27,0
"983",2011-09-28,0
"984",2011-09-29,3
"985",2011-09-30,1
"986",2011-10-01,0
"987",2011-10-02,1
"988",2011-10-03,2
"989",2011-10-04,0
"990",2011-10-05,0
"991",2011-10-06,0
"992",2011-10-07,2
"993",2011-10-08,0
"994",2011-10-09,0
"995",2011-10-10,0
"996",2011-10-11,0
"997",2011-10-12,0
"998",2011-10-13,7
"999",2011-10-14,0
"1000",2011-10-15,0
"1001",2011-10-16,0
"1002",2011-10-17,0
"1003",2011-10-18,1
"1004",2011-10-19,3
"1005",2011-10-20,0
"1006",2011-10-21,2
"1007",2011-10-22,2
"1008",2011-10-23,2
"1009",2011-10-24,9
"1010",2011-10-25,2
"1011",2011-10-26,0
"1012",2011-10-27,0
"1013",2011-10-28,0
"1014",2011-10-29,0
"1015",2011-10-30,0
"1016",2011-10-31,3
"1017",2011-11-01,11
"1018",2011-11-02,11
"1019",2011-11-03,13
"1020",2011-11-04,0
"1021",2011-11-05,1
"1022",2011-11-06,0
"1023",2011-11-07,0
"1024",2011-11-08,7
"1025",2011-11-09,6
"1026",2011-11-10,4
"1027",2011-11-11,2
"1028",2011-11-12,0
"1029",2011-11-13,0
"1030",2011-11-14,2
"1031",2011-11-15,0
"1032",2011-11-16,0
"1033",2011-11-17,9
"1034",2011-11-18,0
"1035",2011-11-19,1
"1036",2011-11-20,4
"1037",2011-11-21,5
"1038",2011-11-22,2
"1039",2011-11-23,1
"1040",2011-11-24,2
"1041",2011-11-25,12
"1042",2011-11-26,3
"1043",2011-11-27,2
"1044",2011-11-28,0
"1045",2011-11-29,5
"1046",2011-11-30,3
"1047",2011-12-01,1
"1048",2011-12-02,2
"1049",2011-12-03,5
"1050",2011-12-04,1
"1051",2011-12-05,8
"1052",2011-12-06,2
"1053",2011-12-07,1
"1054",2011-12-08,2
"1055",2011-12-09,3
"1056",2011-12-10,5
"1057",2011-12-11,3
"1058",2011-12-12,6
"1059",2011-12-13,5
"1060",2011-12-14,0
"1061",2011-12-15,2
"1062",2011-12-16,0
"1063",2011-12-17,6
"1064",2011-12-18,4
"1065",2011-12-19,9
"1066",2011-12-20,2
"1067",2011-12-21,1
"1068",2011-12-22,4
"1069",2011-12-23,0
"1070",2011-12-24,3
